sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
251,M,69.54,Central,75.43,Central,Commerce,74.99,MCA,No,65.16,Data Science & AI,52.08,Not Placed,
252,F,47.64,Central,60.95,Central,Science,73.74,MCA,Yes,50.0,Enterprise Dev,78.01,Not Placed,
253,F,70.52,Central,62.86,Others,Science,79.39,MCA,No,69.02,Data Science & AI,66.09,Not Placed,
254,M,69.65,Central,55.06,Central,Science,58.57,MCA,Yes,64.74,Cloud Computing,66.24,Not Placed,
255,M,73.61,Others,73.67,Central,Commerce,63.93,MCA,No,57.78,Enterprise Dev,67.47,Not Placed,
256,F,46.43,Central,45.0,Central,Science,56.5,MCA,Yes,56.15,Data Science & AI,69.28,Not Placed,
257,M,83.95,Others,61.87,Others,Commerce,54.79,MCA,Yes,68.66,Cloud Computing,77.58,Not Placed,
258,M,62.2,Others,56.3,Central,Science,67.89,MCA,Yes,66.25,Enterprise Dev,60.26,Placed,710000
259,F,83.56,Central,72.9,Others,Commerce,69.3,MCA,No,68.01,Enterprise Dev,54.62,Not Placed,
260,M,67.58,Others,88.25,Central,Commerce,57.04,MCA,No,75.81,Cloud Computing,73.74,Not Placed,
261,F,75.16,Others,71.61,Central,Science,73.77,MCA,No,54.84,Cloud Computing,71.71,Not Placed,
262,F,65.75,Others,84.88,Central,Commerce,75.87,MCA,No,60.49,Enterprise Dev,62.11,Not Placed,
263,M,80.15,Central,57.13,Central,Commerce,59.94,MCA,No,73.95,Cloud Computing,65.35,Not Placed,
264,M,70.93,Central,67.09,Others,Commerce,56.3,MCA,Yes,59.74,Enterprise Dev,57.92,Placed,755000
265,M,73.81,Central,64.76,Others,Commerce,64.19,MCA,No,67.92,Cloud Computing,51.72,Not Placed,
266,M,86.2,Central,79.39,Central,Science,72.96,B.Pharm,Yes,58.39,Pharmaceutics,77.05,Placed,471000
267,M,64.48,Others,83.16,Others,Science,62.78,B.Pharm,No,58.48,Pharmaceutics,73.49,Not Placed,
268,M,61.7,Central,55.91,Central,Science,73.66,B.Pharm,No,66.12,Industrial Pharmacy,81.62,Not Placed,
269,M,82.21,Central,66.1,Others,Science,70.89,B.Pharm,No,83.84,Pharmaceutics,70.82,Not Placed,
270,M,73.97,Central,56.57,Others,Science,73.63,B.Pharm,No,53.21,Industrial Pharmacy,70.91,Not Placed,
271,M,76.16,Central,60.82,Others,Science,51.93,B.Pharm,No,79.76,Quality Assurance,67.85,Not Placed,
272,M,85.27,Central,68.14,Others,Science,68.11,B.Pharm,No,63.41,Pharmaceutics,71.05,Not Placed,
273,F,74.12,Central,65.93,Central,Science,61.47,B.Pharm,Yes,82.58,Industrial Pharmacy,60.22,Placed,506000
274,M,62.72,Central,69.64,Central,Science,70.36,B.Pharm,Yes,65.54,Industrial Pharmacy,65.04,Placed,571000
275,F,78.45,Others,63.13,Others,Science,80.07,B.Pharm,No,74.0,Industrial Pharmacy,53.81,Not Placed,
276,M,53.29,Others,68.55,Others,Science,76.07,B.Pharm,No,74.59,Pharmaceutics,70.24,Not Placed,
277,M,68.06,Others,61.29,Others,Science,67.38,B.Pharm,No,69.14,Pharmaceutics,59.01,Not Placed,
278,F,73.63,Central,57.32,Others,Science,62.98,B.Pharm,Yes,72.11,Pharmaceutics,77.43,Not Placed,
279,F,76.54,Others,56.22,Central,Science,92.0,B.Pharm,Yes,50.0,Quality Assurance,69.31,Placed,477000
280,M,79.13,Central,58.12,Others,Science,64.66,B.Pharm,No,71.98,Industrial Pharmacy,71.39,Not Placed,
281,F,57.87,Others,83.41,Others,Science,63.71,B.Pharm,Yes,64.18,Pharmaceutics,67.31,Placed,537000
282,F,66.18,Central,61.67,Others,Science,69.09,B.Pharm,No,71.7,Industrial Pharmacy,76.48,Not Placed,
283,M,70.57,Central,65.77,Others,Science,59.06,B.Pharm,No,74.52,Pharmaceutics,55.26,Not Placed,
284,M,60.3,Others,52.74,Central,Science,71.36,B.Pharm,Yes,61.31,Quality Assurance,64.75,Placed,486000
285,M,64.4,Others,70.31,Central,Science,69.15,B.Pharm,Yes,55.95,Quality Assurance,63.71,Not Placed,
286,M,78.36,Others,57.5,Central,Science,53.55,B.Pharm,Yes,70.62,Pharmaceutics,65.17,Not Placed,
287,M,80.24,Others,68.51,Others,Science,55.34,B.Pharm,No,62.01,Pharmaceutics,50.0,Not Placed,
288,M,53.31,Others,48.26,Central,Science,57.68,B.Pharm,No,65.08,Pharmaceutics,62.6,Not Placed,
289,M,68.94,Others,86.0,Central,Science,58.1,B.Pharm,Yes,79.54,Pharmaceutics,57.73,Placed,457000
290,F,71.8,Others,64.9,Others,Science,62.85,B.Pharm,No,56.05,Industrial Pharmacy,62.56,Not Placed,
291,M,75.39,Central,68.49,Others,Science,50.98,B.Pharm,No,76.04,Quality Assurance,75.93,Not Placed,
292,F,61.63,Central,72.04,Central,Science,65.72,B.Pharm,No,57.08,Pharmaceutics,66.14,Not Placed,
293,F,73.75,Others,76.51,Others,Science,79.67,B.Pharm,No,72.32,Quality Assurance,66.35,Not Placed,
294,F,62.01,Central,54.79,Others,Science,66.19,B.Pharm,No,78.64,Industrial Pharmacy,53.6,Not Placed,
295,F,76.13,Others,74.14,Central,Science,72.82,B.Pharm,Yes,86.38,Pharmaceutics,63.46,Placed,493000
296,M,62.54,Others,82.72,Central,Science,60.47,B.Pharm,No,77.05,Pharmaceutics,56.05,Not Placed,
297,F,53.66,Others,55.37,Central,Science,63.78,B.Pharm,No,62.38,Pharmaceutics,55.14,Not Placed,
298,F,57.97,Others,54.95,Central,Science,70.91,B.Pharm,No,69.93,Quality Assurance,85.27,Not Placed,
299,M,77.91,Others,78.42,Others,Science,56.21,B.Pharm,Yes,52.65,Industrial Pharmacy,65.15,Not Placed,
300,F,70.3,Central,61.74,Central,Science,62.12,B.Pharm,No,57.44,Pharmaceutics,54.92,Not Placed,
301,M,66.13,Others,49.06,Others,Science,70.2,B.Pharm,No,86.25,Pharmaceutics,63.43,Not Placed,
302,M,82.79,Others,62.78,Others,Science,74.59,B.Pharm,Yes,60.46,Quality Assurance,62.43,Placed,521000
303,M,57.43,Others,70.88,Others,Science,60.87,B.Pharm,Yes,50.0,Industrial Pharmacy,64.45,Not Placed,
304,M,69.23,Others,55.9,Central,Science,73.67,B.Pharm,No,83.02,Industrial Pharmacy,80.28,Not Placed,
305,M,76.1,Central,65.65,Others,Science,66.84,B.Pharm,No,86.2,Industrial Pharmacy,69.82,Not Placed,
306,M,50.56,Others,73.4,Others,Science,65.41,M.Pharm,Yes,73.41,Medicinal Chemistry,52.96,Not Placed,
307,M,69.26,Central,74.09,Others,Science,68.75,M.Pharm,Yes,69.69,Pharmaceutics,66.52,Not Placed,
308,M,52.81,Others,45.0,Central,Science,76.8,M.Pharm,No,62.44,Medicinal Chemistry,59.28,Not Placed,
309,M,76.97,Others,65.44,Others,Science,59.17,M.Pharm,No,54.88,Medicinal Chemistry,58.42,Not Placed,
310,F,85.23,Central,72.49,Central,Science,68.4,M.Pharm,No,57.12,Medicinal Chemistry,63.27,Not Placed,
311,M,61.7,Others,71.68,Central,Science,76.78,M.Pharm,Yes,64.54,Pharmacology,58.73,Placed,589000
312,M,71.0,Central,61.97,Others,Science,66.49,M.Pharm,Yes,69.19,Pharmaceutics,52.86,Placed,701000
313,F,52.24,Others,70.89,Others,Science,63.7,M.Pharm,No,84.44,Medicinal Chemistry,76.44,Placed,574000
314,F,67.11,Central,77.43,Others,Science,64.78,M.Pharm,Yes,71.05,Pharmaceutics,62.02,Placed,690000
315,M,80.19,Central,47.0,Central,Science,72.84,M.Pharm,Yes,66.87,Pharmacology,68.36,Placed,740000
316,M,71.02,Central,83.37,Central,Science,52.78,M.Pharm,No,50.0,Medicinal Chemistry,54.07,Not Placed,
317,M,55.07,Central,73.3,Others,Science,55.54,M.Pharm,Yes,64.6,Medicinal Chemistry,68.11,Placed,687000
318,M,78.49,Central,85.21,Central,Science,70.42,M.Pharm,No,63.7,Pharmaceutics,63.73,Not Placed,
319,F,67.74,Others,59.39,Central,Science,75.41,M.Pharm,No,79.5,Pharmaceutics,50.0,Not Placed,
320,M,57.8,Others,77.28,Central,Science,60.33,M.Pharm,No,68.84,Pharmaceutics,61.25,Not Placed,
321,M,62.33,Central,68.56,Central,Science,61.46,M.Pharm,Yes,82.56,Pharmacology,54.99,Placed,601000
322,M,51.69,Central,81.62,Others,Science,68.82,M.Pharm,Yes,62.49,Pharmaceutics,59.44,Placed,675000
323,M,69.58,Central,56.6,Others,Science,71.47,M.Pharm,Yes,55.97,Medicinal Chemistry,58.98,Not Placed,
324,F,63.61,Central,70.91,Central,Science,67.16,M.Pharm,No,63.51,Pharmaceutics,55.43,Placed,673000
325,F,76.93,Others,87.13,Central,Science,86.53,M.Pharm,No,60.59,Pharmaceutics,77.32,Not Placed,
326,F,79.06,Central,48.63,Central,Science,61.22,M.Pharm,Yes,74.67,Medicinal Chemistry,84.43,Placed,571000
327,F,67.64,Others,72.06,Central,Science,77.78,M.Pharm,Yes,61.76,Medicinal Chemistry,62.83,Not Placed,
328,M,77.02,Others,85.57,Others,Science,50.52,M.Pharm,Yes,89.93,Pharmacology,64.78,Not Placed,
329,M,64.29,Others,53.23,Others,Science,72.89,M.Pharm,Yes,72.44,Medicinal Chemistry,59.44,Not Placed,
330,M,75.79,Central,66.57,Central,Science,56.36,M.Pharm,No,90.94,Pharmaceutics,73.06,Not Placed,
331,M,55.45,Others,84.84,Central,Science,83.56,M.Pharm,Yes,70.36,Pharmaceutics,58.62,Placed,821000
332,F,75.02,Others,76.61,Others,Science,61.52,M.Pharm,No,78.1,Medicinal Chemistry,58.53,Not Placed,
333,M,66.37,Central,55.43,Others,Science,65.25,M.Pharm,Yes,50.0,Medicinal Chemistry,77.28,Not Placed,
334,M,61.43,Central,56.92,Central,Science,78.2,M.Pharm,Yes,82.04,Medicinal Chemistry,66.07,Not Placed,
335,F,81.32,Central,69.49,Others,Science,62.07,M.Pharm,Yes,50.0,Medicinal Chemistry,58.63,Placed,672000
336,F,48.37,Central,62.66,Central,Science,76.85,MBA,Yes,81.7,Operations & Systems,75.79,Not Placed,
337,M,60.35,Others,75.59,Central,Arts,60.38,MBA,No,53.82,Business Analytics,68.6,Not Placed,
338,M,82.45,Central,66.57,Central,Science,50.0,MBA,Yes,70.35,Marketing & Finance,58.17,Placed,557000
339,M,79.8,Central,92.06,Others,Arts,66.37,MBA,Yes,77.08,Marketing & HR,58.3,Placed,513000
340,F,71.45,Others,81.15,Central,Arts,75.1,MBA,Yes,76.99,Operations & Systems,62.01,Placed,613000
341,F,80.24,Central,54.08,Others,Science,57.19,MBA,No,50.59,Marketing & Finance,66.74,Not Placed,
342,M,58.21,Central,67.86,Central,Science,50.0,MBA,No,71.7,Marketing & HR,64.76,Not Placed,
343,F,87.93,Central,58.43,Others,Science,60.15,MBA,Yes,72.93,Marketing & HR,84.56,Placed,537000
344,M,59.67,Central,63.02,Central,Commerce,79.51,MBA,Yes,78.9,Operations & Systems,72.97,Placed,659000
345,M,69.85,Central,82.3,Others,Science,63.57,MBA,No,64.53,Operations & Systems,63.23,Not Placed,
346,M,56.51,Others,72.56,Others,Science,79.4,MBA,Yes,51.3,Operations & Systems,56.91,Not Placed,
347,M,73.6,Central,58.05,Central,Commerce,69.59,MBA,No,62.13,Operations & Systems,60.28,Not Placed,
348,M,76.44,Others,60.95,Others,Arts,64.68,MBA,No,72.37,Business Analytics,66.81,Placed,528000
349,F,72.18,Central,69.78,Others,Science,78.46,MBA,No,64.36,Operations & Systems,64.73,Not Placed,
350,M,54.56,Others,72.56,Others,Commerce,69.91,MBA,No,73.13,Marketing & Finance,52.64,Not Placed,
351,M,69.32,Central,62.74,Central,Arts,62.28,MBA,No,80.36,Marketing & Finance,62.33,Not Placed,
352,M,66.02,Central,69.08,Central,Commerce,75.5,MBA,No,98.0,Marketing & Finance,69.38,Placed,532000
353,M,89.04,Central,73.56,Others,Science,50.0,MBA,No,50.0,Marketing & Finance,51.9,Not Placed,
354,F,69.2,Others,77.76,Central,Arts,50.0,MBA,No,54.64,Operations & Systems,79.16,Not Placed,
355,F,64.48,Others,67.64,Central,Science,79.77,MBA,Yes,75.98,Marketing & HR,54.71,Placed,636000
356,F,72.04,Central,52.19,Central,Arts,84.09,MBA,No,56.11,Operations & Systems,65.36,Not Placed,
357,M,68.51,Central,60.43,Others,Arts,75.7,MBA,Yes,58.88,Marketing & HR,65.31,Placed,563000
358,M,72.24,Central,72.53,Others,Arts,50.0,MBA,No,61.02,Business Analytics,55.61,Not Placed,
359,F,74.52,Central,68.46,Central,Commerce,89.13,MBA,No,51.7,Marketing & HR,63.53,Placed,434000
360,F,79.84,Central,57.98,Central,Commerce,56.0,MBA,Yes,67.57,Marketing & Finance,66.31,Placed,538000
361,M,76.36,Central,65.1,Central,Arts,71.76,MBA,Yes,69.48,Operations & Systems,57.89,Placed,726000
362,M,54.56,Central,76.36,Central,Science,68.02,MBA,No,78.85,Operations & Systems,52.72,Not Placed,
363,M,76.39,Central,72.69,Central,Commerce,60.89,MBA,No,50.0,Business Analytics,79.9,Not Placed,
364,M,77.16,Others,75.24,Others,Commerce,78.03,MBA,No,82.19,Business Analytics,58.08,Not Placed,
365,F,55.9,Others,68.96,Others,Science,67.28,MBA,No,63.23,Operations & Systems,62.47,Placed,529000
366,M,65.73,Central,89.55,Central,Commerce,66.01,MBA,No,58.32,Operations & Systems,51.46,Not Placed,
367,F,65.97,Central,58.86,Others,Arts,57.13,MBA,No,64.59,Marketing & Finance,80.41,Not Placed,
368,M,57.52,Central,59.88,Others,Science,56.85,MBA,No,58.0,Business Analytics,59.89,Not Placed,
369,F,61.72,Others,78.56,Central,Arts,64.89,MBA,Yes,73.49,Marketing & Finance,62.86,Not Placed,
370,M,72.63,Others,96.0,Others,Arts,57.78,MBA,No,61.22,Business Analytics,68.39,Placed,439000
371,M,76.83,Others,58.72,Central,Arts,58.9,MBA,Yes,67.83,Business Analytics,63.96,Placed,673000
372,F,75.75,Others,75.99,Central,Commerce,62.16,MBA,No,70.77,Operations & Systems,59.75,Not Placed,
373,M,68.73,Central,65.35,Others,Arts,69.05,MBA,No,63.99,Marketing & HR,76.69,Not Placed,
374,M,49.56,Others,65.34,Central,Commerce,72.01,MBA,No,62.81,Business Analytics,58.67,Not Placed,
375,M,68.73,Others,69.06,Central,Arts,74.63,MBA,Yes,72.1,Business Analytics,56.82,Placed,600000
376,M,67.39,Central,69.44,Central,Science,64.72,MBA,Yes,52.89,Business Analytics,55.9,Not Placed,
377,M,68.24,Central,77.95,Central,Commerce,81.33,MBA,No,73.18,Operations & Systems,72.03,Not Placed,
378,M,68.84,Central,85.16,Others,Arts,61.74,MBA,Yes,76.17,Operations & Systems,53.73,Placed,553000
379,F,72.79,Central,74.48,Central,Science,69.36,MBA,Yes,75.56,Marketing & Finance,65.27,Placed,525000
380,M,82.56,Central,75.88,Central,Science,63.68,MBA,No,63.46,Business Analytics,64.15,Not Placed,
381,M,63.46,Central,68.14,Others,Arts,84.38,MBA,No,68.45,Business Analytics,61.0,Not Placed,
382,M,70.48,Others,49.12,Others,Arts,68.3,MBA,No,50.0,Operations & Systems,53.63,Not Placed,
383,M,62.83,Others,58.4,Central,Arts,59.16,MBA,No,57.21,Operations & Systems,50.0,Not Placed,
384,M,60.78,Others,63.57,Central,Arts,74.18,MBA,No,73.51,Operations & Systems,57.87,Placed,548000
385,F,72.85,Central,61.85,Central,Arts,81.39,MBA,Yes,65.98,Operations & Systems,77.56,Not Placed,
386,F,68.69,Others,65.19,Central,Arts,67.91,MBA,No,93.64,Marketing & HR,54.89,Placed,507000
387,F,48.31,Others,56.07,Others,Science,69.78,MBA,No,60.53,Operations & Systems,60.57,Not Placed,
388,F,66.66,Central,71.53,Central,Arts,62.4,MBA,No,71.23,Operations & Systems,50.0,Not Placed,
389,F,45.0,Others,84.08,Others,Science,50.0,MBA,No,53.01,Business Analytics,56.14,Not Placed,
390,F,73.37,Others,77.17,Central,Commerce,60.47,MBA,Yes,59.48,Business Analytics,66.11,Placed,637000
391,F,59.12,Central,73.77,Central,Arts,77.66,MBA,Yes,54.71,Operations & Systems,73.9,Not Placed,
392,M,70.38,Central,69.36,Central,Commerce,53.34,MBA,Yes,55.26,Marketing & Finance,64.64,Placed,574000
393,F,58.44,Others,63.3,Central,Science,52.02,MBA,No,62.36,Marketing & Finance,61.57,Not Placed,
394,M,68.01,Others,65.07,Others,Commerce,65.92,MBA,Yes,50.0,Operations & Systems,67.41,Placed,612000
395,M,67.36,Central,72.9,Central,Science,50.0,MBA,No,73.8,Business Analytics,58.6,Not Placed,
396,M,48.92,Others,68.76,Others,Commerce,71.14,MBA,No,63.57,Marketing & HR,64.67,Not Placed,
397,M,60.58,Others,81.21,Central,Commerce,62.93,MBA,No,65.03,Marketing & Finance,64.07,Not Placed,
398,F,84.65,Others,66.04,Central,Science,70.93,MBA,No,55.83,Marketing & HR,71.78,Not Placed,
399,M,61.72,Central,65.9,Central,Commerce,74.64,MBA,No,73.55,Business Analytics,80.26,Not Placed,
400,M,67.27,Central,67.29,Central,Science,72.6,MBA,Yes,72.34,Marketing & Finance,73.68,Placed,711000
401,M,67.13,Others,68.07,Others,Arts,64.7,MBA,Yes,74.47,Marketing & Finance,70.89,Placed,501000
402,M,73.21,Central,73.93,Others,Commerce,50.0,MBA,No,68.59,Marketing & HR,71.15,Not Placed,
403,F,69.29,Others,65.06,Central,Arts,55.65,MBA,Yes,72.16,Marketing & HR,66.48,Placed,638000
404,M,59.66,Central,73.42,Central,Commerce,63.76,MBA,No,98.0,Operations & Systems,68.32,Not Placed,
405,M,61.38,Others,68.56,Others,Science,50.0,MBA,Yes,50.0,Operations & Systems,71.01,Not Placed,
406,M,78.09,Others,56.52,Others,Science,71.37,MBA,Yes,65.21,Marketing & Finance,60.22,Placed,628000
407,F,57.75,Central,61.27,Central,Commerce,59.16,MBA,Yes,66.48,Business Analytics,70.74,Placed,535000
408,F,82.48,Central,65.16,Central,Arts,76.6,MBA,Yes,65.45,Marketing & Finance,77.67,Not Placed,
409,M,53.52,Others,80.33,Others,Commerce,52.06,MBA,Yes,87.18,Business Analytics,71.42,Not Placed,
410,F,58.82,Central,59.9,Central,Science,65.8,MBA,No,59.73,Marketing & Finance,56.49,Not Placed,
411,M,61.06,Others,69.63,Others,Commerce,69.6,MBA,No,70.82,Marketing & HR,60.68,Not Placed,
412,M,63.38,Central,71.53,Central,Commerce,57.76,MBA,No,54.34,Business Analytics,66.51,Not Placed,
413,M,70.97,Central,65.2,Central,Science,80.58,MBA,No,67.85,Marketing & Finance,66.01,Placed,519000
414,F,64.38,Central,63.0,Central,Science,66.45,MBA,No,78.32,Marketing & HR,65.64,Not Placed,
415,M,61.72,Others,45.0,Central,Science,57.8,MBA,No,53.38,Business Analytics,58.1,Not Placed,
416,M,51.77,Others,55.94,Central,Commerce,50.62,MBA,No,65.6,Operations & Systems,66.85,Not Placed,
417,F,74.44,Central,49.79,Central,Science,58.43,MBA,Yes,77.0,Marketing & Finance,57.94,Not Placed,
418,M,53.76,Others,69.45,Others,Science,75.51,MBA,No,57.43,Marketing & Finance,79.39,Not Placed,
419,F,69.19,Central,66.26,Others,Arts,67.39,MBA,No,67.49,Marketing & HR,64.15,Not Placed,
420,M,79.49,Others,74.63,Central,Science,65.2,MBA,No,61.82,Marketing & Finance,66.95,Not Placed,
421,M,74.25,Central,71.17,Central,Arts,50.0,BBA,No,69.35,Finance & Banking,74.55,Not Placed,
422,M,83.65,Others,79.56,Central,Arts,62.02,BBA,No,89.76,General Mgmt,62.26,Not Placed,
423,M,69.11,Others,71.15,Central,Commerce,61.69,BBA,No,72.31,Finance & Banking,64.43,Not Placed,
424,M,75.25,Central,80.57,Others,Arts,83.76,BBA,No,78.72,Finance & Banking,62.96,Not Placed,
425,M,77.73,Central,68.3,Central,Commerce,57.13,BBA,No,56.36,Finance & Banking,74.86,Not Placed,
426,M,71.37,Others,60.86,Central,Arts,64.36,BBA,Yes,66.08,Finance & Banking,68.44,Placed,515000
427,F,80.31,Others,88.5,Others,Commerce,77.2,BBA,Yes,63.93,General Mgmt,51.86,Placed,550000
428,M,90.8,Central,94.63,Central,Commerce,65.64,BBA,Yes,61.62,General Mgmt,62.87,Placed,550000
429,M,61.9,Central,57.64,Others,Arts,50.0,BBA,Yes,85.3,Finance & Banking,65.54,Not Placed,
430,M,68.25,Central,50.03,Central,Arts,66.49,BBA,No,51.88,General Mgmt,72.78,Not Placed,
431,M,81.03,Central,69.38,Central,Arts,71.18,BBA,No,79.97,HR Management,62.71,Placed,482000
432,M,89.86,Others,61.67,Others,Arts,74.31,BBA,No,54.55,Finance & Banking,72.44,Placed,392000
433,M,62.76,Central,45.0,Central,Arts,65.09,BBA,No,86.27,General Mgmt,65.61,Not Placed,
434,F,75.79,Others,54.79,Others,Commerce,63.75,BBA,No,67.98,Finance & Banking,58.41,Not Placed,
435,M,74.83,Others,50.68,Central,Arts,64.12,BBA,Yes,67.65,Finance & Banking,58.86,Not Placed,
436,M,64.18,Central,59.51,Central,Commerce,55.72,BBA,No,68.35,General Mgmt,53.53,Not Placed,
437,F,46.95,Central,61.75,Central,Arts,51.28,BBA,No,84.74,Finance & Banking,56.64,Not Placed,
438,F,67.8,Central,65.82,Others,Arts,56.12,BBA,No,65.97,HR Management,66.29,Not Placed,
439,M,58.77,Central,86.95,Central,Arts,50.0,BBA,Yes,79.29,HR Management,66.54,Placed,378000
440,M,68.27,Central,56.66,Central,Commerce,60.95,BBA,Yes,91.31,General Mgmt,50.0,Not Placed,
441,F,61.97,Others,70.5,Others,Arts,57.3,BBA,Yes,92.28,Finance & Banking,58.76,Not Placed,
442,M,76.81,Others,46.14,Central,Commerce,65.93,BBA,No,62.0,HR Management,68.51,Not Placed,
443,M,88.63,Central,70.29,Others,Arts,67.41,BBA,No,70.11,General Mgmt,72.97,Placed,261000
444,M,79.69,Others,62.46,Central,Arts,68.92,BBA,Yes,61.61,Finance & Banking,63.09,Placed,387000
445,F,84.57,Others,79.16,Central,Commerce,70.39,BBA,No,80.86,General Mgmt,51.77,Not Placed,
446,F,70.65,Others,65.19,Central,Commerce,64.95,BBA,No,66.75,HR Management,59.92,Not Placed,
447,F,70.62,Central,45.55,Others,Commerce,71.16,BBA,No,76.74,General Mgmt,57.8,Not Placed,
448,F,56.67,Central,78.02,Others,Arts,68.38,BBA,No,81.2,General Mgmt,64.86,Not Placed,
449,M,79.73,Others,64.0,Central,Commerce,55.24,BBA,Yes,82.82,HR Management,69.42,Placed,500000
450,F,48.63,Central,58.63,Central,Arts,73.46,BBA,No,79.07,Finance & Banking,74.2,Placed,424000
451,M,80.68,Central,70.18,Central,Science,52.04,B.Sc,Yes,75.94,Statistics,70.65,Not Placed,
452,F,63.0,Others,54.69,Others,Science,74.83,B.Sc,Yes,75.53,Statistics,75.87,Not Placed,
453,M,86.67,Others,80.68,Others,Science,71.74,B.Sc,Yes,73.4,Biotechnology,64.62,Placed,458000
454,F,74.31,Others,60.03,Central,Science,61.52,B.Sc,No,69.6,Statistics,59.61,Not Placed,
455,M,61.59,Others,46.33,Others,Science,74.38,B.Sc,No,50.0,Biotechnology,62.67,Not Placed,
456,M,74.9,Central,69.92,Others,Science,71.92,B.Sc,No,67.17,Biotechnology,58.81,Not Placed,
457,M,67.44,Others,93.38,Central,Science,90.07,B.Sc,No,88.24,Biotechnology,62.25,Placed,401000
458,F,78.74,Central,79.98,Others,Science,76.3,B.Sc,Yes,67.36,Statistics,60.59,Placed,351000
459,M,59.21,Central,88.39,Central,Science,62.89,B.Sc,Yes,63.99,Biotechnology,69.6,Not Placed,
460,F,83.24,Central,51.97,Central,Science,75.62,B.Sc,No,58.72,Computer Science,70.1,Not Placed,
461,F,54.62,Central,52.31,Others,Science,56.19,B.Sc,No,63.32,Biotechnology,50.21,Not Placed,
462,M,57.3,Others,85.91,Central,Science,73.13,B.Sc,No,61.15,Computer Science,63.78,Not Placed,
463,M,60.5,Central,73.83,Others,Science,77.6,B.Sc,Yes,68.88,Statistics,63.9,Placed,500000
464,M,62.16,Central,54.05,Central,Science,82.38,B.Sc,No,61.2,Biotechnology,71.65,Not Placed,
465,F,76.76,Central,74.65,Central,Science,59.41,B.Sc,No,67.66,Statistics,75.39,Not Placed,
466,M,60.85,Others,77.61,Central,Science,69.26,B.Sc,No,56.27,Computer Science,71.69,Not Placed,
467,M,64.55,Central,72.38,Others,Science,66.61,B.Sc,Yes,50.0,Biotechnology,69.91,Not Placed,
468,M,59.31,Central,70.62,Others,Science,67.26,B.Sc,No,50.99,Biotechnology,65.95,Not Placed,
469,F,84.67,Central,62.47,Others,Science,53.8,B.Sc,Yes,72.98,Biotechnology,62.54,Placed,500000
470,F,62.02,Central,88.43,Central,Science,52.82,B.Sc,No,83.78,Computer Science,56.48,Not Placed,
471,F,66.31,Others,75.74,Central,Science,79.2,B.Sc,Yes,76.27,Computer Science,60.85,Not Placed,
472,M,75.03,Central,90.7,Central,Science,68.21,B.Sc,No,58.37,Biotechnology,63.0,Not Placed,
473,F,66.9,Others,63.44,Others,Science,65.27,B.Sc,Yes,84.97,Computer Science,71.9,Not Placed,
474,M,55.42,Others,75.05,Others,Science,75.29,B.Sc,No,86.77,Biotechnology,61.41,Not Placed,
475,M,68.09,Central,71.38,Central,Science,75.15,B.Sc,Yes,65.55,Biotechnology,70.18,Not Placed,
